AGE,GENDER,DOMAIN,PhD,YEARSEXP,UNIVERSITY,USERWIKI,PU1_IND,PU1
39,1,6,1,18,1,0,0,2
38,1,1,1,12,1,0,0,3
43,1,6,0,14,1,0,0,3
42,1,6,0,3,1,0,0,2
46,1,4,1,16,1,0,0,3
40,1,6,1,12,1,0,0,3
48,1,1,1,16,1,0,0,3
36,1,6,1,10,1,0,0,2
37,1,6,1,10,1,1,1,4
50,1,4,1,20,1,0,0,2
43,1,4,1,16,1,1,1,4
49,1,6,1,25,1,0,0,3
35,1,6,1,11,1,0,0,2
46,1,3,1,22,1,0,1,4
40,1,6,1,15,1,0,1,4
35,1,6,0,6,1,0,0,3
41,1,6,1,18,1,0,0,2
41,1,6,1,15,1,0,1,4
55,1,1,1,9,1,1,1,4
45,1,5,0,17,1,0,0,2
45,1,1,1,18,1,0,0,2
37,1,6,1,9,1,0,1,4
35,1,6,0,11,1,0,0,2
33,1,5,0,10,1,0,0,2
38,1,6,0,8,1,0,0,3
48,1,5,1,14,1,0,0,2
44,1,1,1,15,1,0,0,3
40,1,3,1,2,1,0,0,3
29,1,4,0,5,1,0,0,3
32,1,1,1,3,1,0,0,3
35,1,6,0,7,1,0,0,3
38,1,6,1,13,1,0,0,3
41,1,6,1,11,1,0,1,4
31,1,1,0,5,1,0,1,5
42,1,1,0,4,1,0,0,1
33,1,1,0,8,1,0,1,5
40,1,1,1,5,1,0,1,5
31,1,1,1,5,1,1,1,4
31,1,6,0,3,1,0,0,3
30,1,5,0,2,1,0,0,3
59,1,6,1,20,1,1,1,4
46,1,6,1,6,1,0,1,4
47,1,6,1,12,1,0,0,3
46,1,6,1,20,1,0,0,3
43,1,6,1,20,1,0,0,2
52,1,1,1,22,1,0,1,4
46,1,5,1,17,1,0,0,2
35,1,6,1,12,1,0,0,3
50,1,6,1,25,1,0,0,1
40,1,6,1,13,1,0,1,5
48,1,6,0,13,1,0,0,2
46,1,6,1,12,1,1,1,4
55,1,1,1,25,1,0,0,2
51,1,6,1,25,1,0,1,4
49,1,6,1,24,1,0,0,2
49,1,6,0,20,1,0,0,3
44,1,5,0,19,1,0,0,3
49,0,1,0,6,1,0,1,5
46,0,3,0,4,1,0,0,2
54,0,6,0,11,1,0,1,5
47,0,6,0,5,1,0,1,4
53,0,6,0,10,1,1,0,2
45,0,4,0,12,1,0,1,4
47,0,5,0,8,1,0,0,3
43,0,6,0,7,1,0,1,5
39,0,6,0,15,1,0,0,3
51,0,1,1,5,1,0,1,4
45,0,1,0,9,1,0,1,4
45,0,2,0,6,1,0,1,4
39,0,4,0,5,1,0,1,4
40,0,2,0,12,1,0,1,4
53,0,4,0,7,1,0,0,3
51,0,4,0,5,1,0,0,3
44,0,6,0,13,1,1,1,4
52,0,1,0,10,1,0,0,3
46,0,4,0,15,1,0,0,3
43,0,5,1,20,1,0,0,2
47,0,6,0,14,1,0,0,3
43,0,6,0,16,1,0,1,5
48,0,6,0,15,1,0,0,2
44,0,1,1,20,1,0,0,3
44,0,6,0,20,1,0,1,4
41,0,6,1,15,1,0,1,4
47,0,2,1,21,1,0,1,5
42,0,6,1,17,1,0,1,5
33,0,4,0,5,1,0,0,2
41,0,6,1,14,1,0,1,4
46,0,4,1,23,1,1,0,2
45,0,4,1,20,1,0,0,3
43,0,4,0,15,1,0,0,3
44,0,4,0,14,1,0,0,3
56,0,4,0,3,1,0,0,1
43,0,6,1,8,1,0,0,3
41,0,6,1,10,1,0,1,4
49,0,2,1,22,1,0,1,4
47,0,2,1,19,1,0,0,3
47,0,4,1,20,1,0,1,4
48,0,6,0,4,1,0,0,3
49,0,6,0,5,1,0,0,3
46,0,6,1,11,1,1,1,5
57,0,2,0,12,1,0,1,4
43,0,6,0,12,1,0,1,4
48,0,2,1,25,1,0,1,4
45,0,5,0,12,1,0,0,3
53,0,2,0,12,1,0,0,3
43,0,5,1,18,1,0,0,2
42,0,6,1,20,1,0,1,5
39,0,4,1,14,1,1,1,4
44,0,5,0,16,1,0,0,2
39,0,4,0,7,1,0,0,3
43,0,4,0,7,1,0,1,4
46,0,1,0,12,1,0,1,4
39,0,6,0,4,1,0,1,4
58,0,4,0,10,1,0,0,3
41,0,6,1,15,1,0,1,4
43,0,6,0,3,1,0,1,4
38,0,6,0,9,1,0,0,2
56,0,3,0,22,1,0,0,2
46,0,1,0,10,1,0,0,3
47,0,4,0,5,1,0,0,2
37,0,6,0,2,1,1,1,5
44,0,4,0,1,1,1,0,3
48,0,6,0,7,1,0,1,4
68,0,6,0,18,1,0,1,5
42,0,6,1,18,1,0,0,1
49,0,2,1,20,1,0,0,1
48,0,2,1,20,1,0,0,2
40,0,6,1,15,1,0,0,3
46,0,4,1,23,1,1,1,5
55,0,3,1,20,1,1,1,5
38,0,3,1,15,1,0,1,4
44,0,6,0,7,1,0,1,4
43,0,1,0,12,1,0,1,4
46,0,5,0,7,1,0,0,3
50,0,1,0,12,1,1,1,5
37,0,4,1,12,1,0,1,5
44,0,1,0,12,1,1,1,5
45,0,6,0,8,1,0,1,4
57,0,6,1,22,1,0,1,4
47,0,4,0,7,1,0,0,3
53,0,1,0,5,1,0,0,3
46,0,5,0,1,1,0,1,4
48,0,6,0,5,1,0,1,4
37,0,6,0,6,1,0,0,2
56,0,6,0,12,1,0,0,2
37,0,4,0,6,1,0,1,4
31,0,6,0,4,1,0,0,2
51,0,3,1,20,1,1,0,3
45,0,6,0,17,1,0,0,3
33,0,1,1,9,1,1,0,2
33,0,5,0,3,1,0,1,4
37,0,1,0,6,1,0,1,4
40,0,1,1,10,1,0,0,3
34,0,4,1,10,1,0,1,4
38,0,1,0,7,1,0,0,3
34,0,2,0,3,1,0,0,3
50,0,1,1,17,1,0,0,2
39,0,6,0,10,1,0,0,3
39,0,5,1,12,1,0,1,4
40,0,5,0,16,1,0,0,3
41,0,1,1,10,1,0,0,3
39,0,4,0,10,1,0,0,3
42,0,2,1,15,1,0,1,4
36,0,4,0,12,1,0,1,4
47,0,4,1,24,1,0,0,1
51,0,4,0,8,1,1,0,3
35,0,4,1,5,1,0,1,4
45,0,6,0,3,1,1,1,4
36,0,5,0,3,1,0,1,4
36,0,2,0,10,1,0,1,4
39,0,6,0,4,1,0,1,4
45,0,5,1,22,1,0,0,2
46,0,3,1,10,1,0,1,5
46,0,3,1,20,1,0,0,3
41,0,4,0,13,1,0,0,3
33,0,6,0,8,1,0,0,1
50,0,6,1,25,1,1,0,3
53,0,1,0,2,1,0,0,3
41,0,6,1,15,1,0,1,4
38,0,6,0,10,1,0,1,4
56,0,6,0,15,1,0,1,5
45,0,6,0,10,1,1,1,5
42,0,4,0,8,1,0,0,3
45,0,6,0,15,1,0,0,3
42,0,6,1,18,1,0,1,5
49,0,6,0,16,1,0,0,3
48,0,5,0,10,1,0,0,2
35,0,6,1,11,1,0,0,3
32,0,6,1,6,1,1,0,3
43,0,4,0,10,1,1,0,3
43,0,2,1,5,1,0,0,2
32,0,6,0,3,1,1,1,5
38,0,6,1,4,1,1,0,2
33,0,4,0,12,1,0,0,2
46,0,6,0,10,1,0,0,2
56,0,6,0,10,1,0,0,2
42,0,6,1,14,1,0,1,4
42,0,4,1,14,1,0,0,2
46,0,2,1,22,1,0,0,3
47,0,4,1,23,1,0,0,3
55,0,1,0,20,1,0,1,4
59,0,5,0,15,1,0,0,3
34,0,6,0,4,1,0,0,2
39,0,4,0,3,1,1,1,5
36,0,6,1,9,1,0,1,4
33,0,4,0,2,1,0,0,3
49,0,5,0,8,1,0,0,3
47,0,4,1,24,1,0,0,2
40,0,6,1,15,1,0,1,5
40,0,6,1,18,1,0,0,3
38,0,5,0,10,1,0,0,3
44,0,5,0,12,1,0,0,2
36,0,5,0,8,1,0,0,3
40,0,1,0,8,1,0,0,2
40,0,4,0,13,1,0,1,4
37,0,4,0,8,1,0,0,3
41,0,6,0,12,1,0,0,3
44,0,5,1,16,1,0,1,4
63,0,6,1,35,1,0,0,2
54,0,1,1,7,1,0,0,3
36,0,6,0,6,1,0,1,5
46,0,6,0,12,1,0,1,4
42,0,6,1,18,1,0,0,3
45,0,5,1,15,1,0,1,4
43,0,6,0,9,1,0,1,4
45,0,1,0,4,1,0,0,3
41,0,1,1,11,1,0,1,4
39,0,4,0,9,1,0,1,4
37,0,6,0,3,1,0,0,3
40,0,1,1,12,1,0,0,2
69,0,4,0,10,1,0,0,3
38,0,4,0,4,1,0,0,2
30,0,6,1,6,1,0,1,4
34,0,4,1,10,1,1,1,5
51,0,4,1,23,1,0,0,3
44,0,6,0,10,1,0,0,2
44,0,6,1,13,1,0,0,2
41,0,3,0,10,1,1,0,3
41,0,1,0,6,1,0,0,2
47,0,6,0,7,1,1,1,4
34,0,4,1,12,1,0,1,5
41,0,2,0,3,1,0,0,2
42,0,6,1,14,1,0,0,2
42,0,2,0,6,1,0,1,5
39,0,4,0,12,1,1,1,4
51,0,6,1,27,1,0,0,3
39,0,5,0,3,1,0,1,5
33,0,3,1,4,1,0,0,3
55,0,1,0,3,1,0,1,5
63,0,6,1,10,1,0,0,3
53,0,1,1,10,1,1,1,5
52,0,6,0,7,1,0,0,1
44,0,6,0,18,1,0,1,4
48,0,5,0,8,1,1,0,3
43,0,6,0,20,1,0,0,2
42,0,4,1,10,1,1,1,4
37,0,6,1,7,1,0,0,3
41,0,6,1,8,1,0,0,3
41,0,6,1,5,1,0,0,3
42,0,2,1,5,1,0,0,2
48,0,5,0,2,1,0,0,3
35,0,4,0,5,1,0,0,2
35,0,2,0,10,1,1,1,4
38,0,1,0,3,1,0,0,3
28,0,4,0,1,1,0,0,1
35,0,6,0,4,1,1,0,3
36,0,3,1,8,1,0,0,3
46,0,2,1,23,1,0,1,4
47,0,5,0,7,1,0,0,2
36,0,2,0,4,1,0,0,3
34,0,6,0,3,1,1,1,5
43,0,1,0,7,1,1,0,2
30,0,6,0,2,1,0,0,3
32,0,6,1,6,1,0,1,4
34,0,6,0,6,1,1,0,3
38,0,4,1,12,1,0,1,5
42,0,6,0,5,1,0,0,2
44,0,1,0,15,1,0,1,5
33,0,6,0,6,1,0,0,1
42,0,1,1,18,1,0,0,2
36,0,6,1,8,1,0,0,2
43,0,6,1,10,1,0,0,2
45,0,6,0,6,1,0,0,3
38,0,6,0,8,1,0,1,4
48,0,1,0,4,1,1,1,4
57,0,4,0,6,1,0,1,4
48,0,2,1,26,1,0,0,3
34,0,6,1,12,1,0,0,1
50,0,5,1,25,1,0,1,4
36,0,1,0,11,1,1,0,3
36,0,3,1,7,1,0,0,2
29,0,4,0,1,1,1,1,5
33,0,5,1,6,1,0,0,3
50,0,6,1,25,1,0,1,4
44,0,6,1,10,1,0,0,2
47,0,6,0,10,1,0,0,3
49,0,6,0,4,1,0,0,2
39,0,5,1,10,1,1,1,4
60,0,6,0,7,1,0,0,3
56,0,4,0,4,1,0,1,4
46,0,5,0,20,1,0,0,3
41,0,6,1,12,1,0,1,4
45,0,4,1,18,1,0,0,3
28,0,4,0,4,1,0,1,5
49,0,1,1,5,1,0,0,2
39,0,1,1,6,1,0,0,1
37,0,4,0,5,1,1,1,5
54,0,6,0,3,1,1,1,5
46,0,6,1,7,1,0,1,5
46,0,6,1,10,1,0,0,1
41,0,4,0,5,1,0,1,4
35,0,6,1,5,1,0,0,2
38,0,6,1,12,1,0,0,3
28,0,6,0,5,1,0,1,4
49,0,6,0,1,1,0,0,3
42,0,1,0,8,1,1,1,4
44,0,4,1,22,1,0,1,4
31,0,6,0,5,1,1,0,3
32,0,6,1,3,1,0,1,5
34,0,5,1,8,1,0,1,4
34,0,2,0,3,1,0,1,4
29,0,2,0,1,1,0,1,4
36,0,4,1,12,1,0,1,5
42,0,1,0,9,1,0,0,2
33,0,4,0,2,1,0,1,5
44,0,5,0,4,1,0,1,5
34,0,4,0,11,1,0,0,2
53,0,5,1,25,1,0,1,4
42,0,5,1,15,1,0,0,2
35,0,2,1,5,1,0,0,3
41,0,4,0,3,1,0,0,2
45,0,6,1,16,1,0,0,3
44,0,1,1,5,1,0,1,4
43,0,5,1,10,1,1,0,3
33,0,1,0,3,1,0,0,3
33,0,5,1,10,1,0,0,2
33,0,3,0,5,1,0,0,3
58,0,4,1,30,1,0,0,3
43,0,5,0,8,1,0,1,4
38,0,4,0,3,1,0,1,4
36,0,1,0,3,1,0,0,3
45,0,4,0,1,1,0,0,2
42,0,1,1,10,1,0,0,3
42,0,6,0,8,1,0,1,4
39,0,4,1,10,1,0,1,5
62,0,1,0,4,1,0,1,4
42,0,5,1,16,1,0,0,2
44,0,1,0,3,1,1,0,2
36,0,1,0,3,1,0,1,4
34,0,4,0,5,1,1,0,3
57,0,6,1,25,1,0,0,2
49,0,6,1,5,1,0,0,2
30,0,4,0,1,1,0,1,4
50,0,6,0,9,1,1,1,4
29,0,6,0,2,1,0,0,3
38,0,6,0,7,1,0,0,3
38,0,5,1,15,1,0,0,3
50,0,6,1,13,1,0,0,3
34,0,6,1,10,1,0,0,3
50,0,6,1,10,1,0,0,1
47,0,4,0,2,1,1,1,4
34,0,6,0,4,1,0,0,3
46,0,6,0,15,1,0,0,3
28,0,4,0,2,1,0,1,4
35,0,6,1,7,1,0,0,2
57,0,4,0,3,1,0,0,2
44,0,6,1,14,1,0,0,3
43,0,6,0,3,1,0,0,3
35,0,6,0,3,1,0,0,3
46,0,5,1,5,1,0,1,5
39,0,4,0,3,1,1,0,3
36,0,4,0,5,1,0,0,3
36,0,4,0,2,1,0,1,4
28,0,4,0,1,1,0,0,3
37,0,1,1,4,1,0,0,3
26,0,4,0,3,1,0,0,3
40,0,6,0,3,1,0,0,2
29,0,6,0,3,1,0,1,4
51,0,1,0,8,1,0,0,3
33,0,5,1,3,1,0,0,3
34,0,6,0,3,1,0,0,2
51,0,5,1,15,1,1,0,3
41,0,2,1,16,1,0,0,3
48,0,6,0,15,1,0,0,1
45,0,5,1,19,1,0,0,3
33,0,6,1,8,1,0,0,3
40,0,5,0,8,1,0,0,3
64,0,2,1,30,1,0,0,3
48,0,1,0,2,1,0,1,4
41,0,6,1,4,1,0,0,1
32,0,1,0,2,1,0,0,2
50,0,6,0,3,1,0,0,3
36,0,2,0,8,1,0,0,3
54,0,1,0,1,1,0,1,4
35,0,1,0,3,1,1,0,2
35,0,1,1,6,1,0,1,5
32,0,1,0,1,1,0,1,4
52,0,3,0,1,1,0,1,4
39,0,1,0,7,1,0,0,3
56,0,5,1,28,1,0,0,2
39,0,5,1,4,1,1,0,3
54,0,4,0,1,1,0,1,4
50,0,5,0,15,1,0,0,3
43,0,4,0,5,1,0,0,3
49,0,6,1,27,1,1,0,2
46,0,6,1,20,1,0,0,2
49,0,4,0,17,1,0,1,4
43,0,4,1,17,1,0,0,2
50,0,6,1,25,1,0,0,3
52,0,5,1,30,1,0,1,4
52,0,2,1,22,1,0,1,4
55,0,1,0,12,1,1,0,3
58,0,6,1,15,1,0,0,2
55,0,3,0,20,1,0,0,3
56,0,4,1,23,1,0,0,3
46,0,1,0,15,1,0,1,4
51,0,1,0,15,1,0,1,4
67,0,4,1,30,1,0,0,2
59,0,6,0,25,1,1,0,2
52,0,6,1,22,1,0,0,2
50,0,2,1,20,1,0,1,4
50,0,3,1,20,1,0,0,2
40,0,6,1,10,1,0,0,3
45,0,3,1,20,1,0,1,4
46,0,6,0,7,1,1,0,2
38,1,6,1,15,1,0,0,3
47,1,6,0,2,1,1,0,3
39,1,6,0,15,1,0,1,4
48,1,6,0,7,1,0,1,4
58,1,5,1,7,1,0,0,2
38,1,6,0,5,1,0,0,2
49,1,1,0,15,1,0,1,4
43,1,3,0,15,1,1,1,4
46,1,4,0,15,1,0,0,3
45,1,5,0,16,1,0,0,2
42,1,6,1,18,1,0,0,3
48,1,6,1,25,1,0,1,4
45,1,1,0,14,1,0,0,2
53,1,1,0,20,1,0,0,3
38,1,6,0,8,1,0,1,5
39,1,3,0,6,1,0,0,2
49,1,1,0,16,1,0,0,2
46,1,1,0,1,1,0,1,4
53,1,1,0,1,1,0,0,3
43,1,6,0,3,1,0,0,3
46,1,1,0,15,1,1,0,3
52,1,6,0,25,1,0,0,3
50,1,6,0,23,1,0,0,1
43,1,1,0,7,1,0,0,3
46,1,6,0,7,1,0,0,2
35,1,6,0,2,1,1,1,4
49,1,6,0,14,1,0,1,4
39,1,1,1,7,1,1,1,4
39,1,4,0,10,1,0,0,3
38,1,6,0,12,1,0,1,5
43,1,6,1,20,1,0,0,3
44,1,6,1,20,1,1,0,3
49,1,5,0,13,1,0,0,2
42,1,1,1,16,1,0,0,2
44,1,1,1,20,1,0,0,3
34,1,4,0,1,1,0,0,3
46,1,1,0,6,1,0,0,3
48,1,6,0,2,1,0,0,2
52,1,1,0,11,1,0,0,2
40,1,6,0,9,1,0,1,4
40,1,6,0,5,1,0,0,3
42,1,6,0,6,1,0,0,3
49,1,1,0,5,1,0,0,3
47,1,1,0,5,1,0,0,3
49,1,1,0,18,1,0,0,3
34,1,5,0,4,1,0,0,3
34,1,6,0,3,1,0,0,2
45,1,1,0,16,1,0,0,3
35,1,4,0,2,1,0,0,3
40,1,4,0,1,1,0,1,4
33,1,1,0,2,1,0,0,3
44,1,1,0,12,1,0,0,2
34,1,5,0,8,1,0,0,3
33,1,6,1,10,1,0,0,2
65,1,6,0,15,1,0,0,3
31,1,6,0,5,1,0,1,4
32,1,5,0,2,1,1,1,4
43,1,3,1,20,1,0,0,2
52,1,3,1,26,1,0,0,1
36,1,6,1,10,1,0,0,3
42,1,3,0,12,1,0,1,4
50,1,6,0,10,1,0,0,1
42,1,2,0,8,1,0,0,2
43,1,6,0,15,1,0,0,2
29,1,6,0,4,1,0,0,2
38,1,3,0,2,1,0,1,4
54,1,3,0,3,1,0,0,2
48,1,1,0,4,1,0,0,1
47,1,3,1,20,1,0,0,2
38,1,6,0,14,1,0,1,4
37,1,6,0,10,1,0,0,2
45,1,2,1,20,1,0,0,2
37,1,6,0,7,1,0,0,3
45,1,6,1,20,1,1,1,4
47,1,3,0,11,1,0,0,2
39,1,6,0,2,1,0,1,4
40,1,6,1,13,1,0,0,3
37,1,6,0,7,1,0,0,3
34,1,6,1,10,1,0,0,3
39,1,1,1,6,1,0,0,3
49,1,1,0,5,1,1,1,5
36,1,6,0,3,1,0,0,3
51,1,6,0,8,1,0,0,3
32,1,3,1,10,1,0,0,3
50,1,6,0,10,1,0,1,4
43,1,3,0,11,1,0,1,4
40,1,5,1,14,1,0,0,2
40,1,6,0,10,1,0,0,3
37,1,3,1,12,1,0,1,5
37,1,1,1,10,1,0,0,2
52,1,5,1,9,1,1,0,3
43,1,6,1,10,1,0,1,4
41,1,6,0,12,1,0,1,4
55,1,6,1,30,1,0,0,3
42,1,6,0,1,1,0,0,2
34,1,3,1,10,1,0,1,4
45,1,1,0,15,1,0,0,3
49,1,3,0,18,1,0,1,4
46,1,3,0,7,1,0,1,5
33,1,6,0,4,1,0,1,4
52,1,1,0,28,1,0,0,2
42,1,5,1,17,1,0,0,2
44,1,6,0,8,1,0,1,4
49,1,1,0,4,1,0,0,3
33,1,6,0,2,1,0,0,2
39,1,3,0,3,1,0,1,4
38,1,6,0,8,1,0,0,3
39,1,6,1,12,1,0,0,3
32,1,6,0,4,1,0,0,3
40,1,6,0,3,1,0,0,2
35,1,6,0,10,1,0,0,3
50,1,6,1,1,1,0,1,4
41,1,6,1,10,1,0,0,2
45,1,6,1,18,1,0,0,3
39,1,1,0,7,1,0,0,2
41,1,1,1,2,1,1,0,3
41,1,1,0,6,1,0,0,3
42,1,6,0,6,1,0,0,1
31,1,4,0,1,1,0,1,4
43,1,1,1,20,1,0,0,2
32,1,4,0,4,1,0,0,2
52,1,5,0,7,1,0,1,4
33,1,1,0,10,1,1,0,3
45,1,6,1,20,1,0,1,4
54,1,1,1,4,1,0,0,1
38,1,6,0,7,1,0,1,4
40,1,5,1,17,1,0,0,2
37,1,6,1,6,1,0,0,3
39,1,6,0,10,1,1,0,3
42,1,6,1,19,1,0,0,3
36,1,6,1,12,1,0,0,2
39,1,6,1,12,1,0,0,2
34,1,2,0,5,1,0,0,3
42,1,1,0,14,1,0,1,4
48,1,5,0,6,1,0,0,3
42,1,5,0,3,1,0,1,4
36,1,1,0,4,1,0,0,3
52,1,1,0,2,1,0,0,2
28,1,4,0,1,1,0,0,3
56,1,6,0,8,1,0,0,3
37,1,3,0,8,1,0,0,3
45,1,6,0,15,1,0,0,2
31,1,5,0,4,1,0,0,3
36,1,6,0,10,1,0,0,2
55,1,1,0,15,1,0,0,3
45,1,1,0,3,1,0,0,2
48,1,6,1,23,1,0,0,2
38,1,6,1,12,1,0,1,4
32,1,1,0,6,1,0,1,4
30,1,1,1,4,1,0,0,3
28,1,1,0,2,1,0,0,3
33,1,6,0,6,1,1,0,3
39,1,6,0,1,1,1,1,5
32,1,1,0,6,1,0,0,2
50,1,1,1,27,1,0,0,2
38,1,3,0,7,1,0,1,4
42,1,4,1,20,1,0,0,2
50,1,1,1,11,1,0,0,1
36,1,6,0,3,1,1,1,4
42,1,5,1,15,1,0,0,3
35,1,6,0,4,1,0,1,5
42,1,6,1,4,1,0,0,2
33,1,6,0,4,1,0,0,3
31,1,5,0,4,1,0,0,2
38,1,1,0,1,1,0,1,4
41,1,1,1,18,1,0,0,2
31,1,3,0,7,1,0,0,3
32,1,5,1,8,1,0,0,3
46,1,1,0,5,1,0,0,1
41,1,6,1,14,1,0,0,3
31,1,1,0,4,1,1,0,2
35,1,5,1,8,1,0,0,3
44,1,5,1,20,1,0,1,4
39,1,5,0,16,1,0,0,2
32,1,6,0,7,1,0,0,2
52,1,1,0,9,1,0,0,3
48,1,6,0,5,1,0,0,3
31,1,3,1,4,1,0,0,3
34,1,1,1,6,1,0,0,3
46,1,1,0,4,1,1,1,4
39,1,6,1,14,1,0,0,2
30,1,3,0,3,1,1,1,4
36,1,6,1,13,1,0,0,3
45,1,3,1,4,1,0,0,3
33,1,6,0,1,1,0,1,4
44,1,6,0,5,1,0,0,2
40,1,6,0,4,1,0,1,4
31,1,6,1,5,1,0,1,4
33,1,1,1,4,1,0,0,2
38,1,1,0,4,1,0,1,4
43,1,5,1,17,1,0,0,3
31,1,2,0,3,1,0,0,2
41,1,5,1,15,1,0,0,2
54,1,5,0,20,1,0,0,2
38,1,6,1,11,1,0,0,2
52,1,1,0,5,1,1,0,3
33,1,6,0,4,1,0,0,2
35,1,6,0,1,1,0,0,3
40,1,5,0,5,1,0,0,3
48,1,1,0,4,1,0,0,3
39,1,3,0,4,1,0,0,3
49,1,1,0,3,1,0,1,4
33,1,6,1,7,1,0,0,3
35,1,6,0,4,1,0,0,3
44,1,1,0,4,1,0,1,5
45,1,1,0,20,1,0,0,3
43,1,1,0,0,1,0,0,2
35,1,1,0,3,1,1,0,2
29,1,6,0,1,1,0,1,5
35,1,6,0,4,1,0,1,4
41,1,4,0,3,1,1,1,5
48,1,1,1,21,1,0,0,2
35,1,6,0,2,1,0,1,4
48,1,1,1,3,1,0,0,3
37,1,1,0,6,1,0,0,3
33,1,6,0,6,1,1,0,3
36,1,5,0,11,1,0,0,3
40,1,5,0,10,1,0,1,4
31,1,3,1,7,1,0,0,3
53,1,6,0,3,1,0,0,3
31,1,3,1,6,1,0,0,1
38,1,1,0,15,1,0,0,3
33,1,2,1,10,1,0,1,5
31,1,5,1,5,1,0,0,3
33,1,3,1,8,1,0,0,2
45,1,2,0,3,1,0,1,4
34,1,6,1,6,1,0,0,2
31,1,6,0,7,1,0,1,5
33,1,1,0,2,1,0,0,2
47,1,1,0,15,1,0,0,3
28,1,3,0,3,1,1,1,4
37,1,1,0,2,1,0,0,2
35,1,6,0,5,1,0,1,4
47,1,6,0,3,1,0,0,3
35,1,1,0,2,1,0,1,5
44,1,3,0,15,1,0,0,2
35,1,6,0,2,1,0,1,4
27,1,1,1,1,1,0,0,2
54,1,3,0,2,1,0,0,3
39,1,6,0,1,1,0,1,5
30,1,6,0,2,1,1,0,2
42,1,5,1,13,1,0,0,2
35,1,6,1,3,1,0,1,4
36,1,3,0,1,1,0,1,4
32,1,6,0,10,1,0,1,4
48,1,3,0,1,1,0,1,5
30,1,6,0,4,1,1,0,2
35,1,2,0,10,1,0,1,4
47,1,1,0,9,1,0,0,3
31,1,1,1,4,1,0,0,3
43,1,5,0,10,1,0,0,2
41,1,6,1,3,1,0,0,2
38,1,1,0,1,1,0,0,2
40,1,1,1,9,1,0,0,3
27,1,6,0,4,1,0,0,1
49,1,1,0,0,1,0,0,2
40,1,5,0,1,1,0,0,3
63,1,6,1,36,1,0,1,4
56,1,3,1,16,1,0,0,2
50,1,6,1,19,1,1,0,2
43,1,1,0,20,1,0,0,3
51,1,1,0,19,1,0,0,2
62,1,3,0,15,1,0,0,2
46,1,1,1,21,1,0,0,3
49,1,1,1,23,1,0,0,3
42,1,5,0,19,1,1,0,2
45,1,3,1,20,1,0,0,2
41,0,2,1,3,2,0,0,3
52,0,6,1,30,2,0,0,3
43,1,6,0,17,2,0,1,4
