COUNTRY,POPULATION,MEDIANAGE,POPGROWTH,BIRTHRATE,MTRNLDTH,HEATHEXPENDITURE,GDP,TAXREVENUE,UNEMPRATE,INFANTMORTALITYRATE,OBESITY,TOTALFERTILITYRATE
Croatia,4464844.00,42.6,-0.13,9.45,17,6.8,21600,41.9,19.3,5.77,24.2,1.46
Cuba,11031433.00,40.4,-0.15,9.9,73,8.6,10200,3.5,3,4.63,21.5,1.47
Cyprus,1189197.00,36.1,1.43,11.41,10,7.3,32800,39.9,15.5,8.36,25.5,1.46
Czechia,10644842.00,41.3,0.16,9.63,5,7.7,31600,39.6,6.5,2.63,32.7,1.44
Denmark,5581503.00,41.8,0.22,10.27,12,11.2,45700,55.6,4.7,4.05,18.2,1.73
Djibouti,828324.00,23.2,2.2,23.65,200,8.8,3200,33.7,60,48.7,9.4,2.39
Dominican Republic,10478756.00,27.4,1.23,18.73,150,5.4,15000,16,14,18.84,21.2,2.33
Ecuador,15868396.00,27,1.35,18.51,110,6.4,11300,35.5,4.8,17.38,21.4,2.25
Egypt,88487396.00,25.3,1.79,22.9,66,5,11800,26.7,12.8,21.55,33.1,2.83
El Salvador,6141350.00,26.1,0.25,16.46,81,6.7,8300,20,6.1,17.86,25.8,1.91
Equatorial Guinea,740743.00,19.5,2.51,33.31,240,4.7,31800,29.8,22.3,69.17,10.6,4.57
Eritrea,6527689.00,19.3,2.25,30,240,2.6,1300,33.9,8.6,37.53,1.5,4.02
Estonia,1265420.00,42.1,-0.55,10.51,2,5.9,28600,38.2,6.2,3.85,20.6,1.59
Ethiopia,99465819.00,17.7,2.89,37.27,350,3.8,1800,15.8,17.5,53.37,1.1,5.15
Fiji,909389.00,28.2,0.67,19.43,26,4,9000,24,8.8,9.94,30.6,2.47
Finland,5476922.00,42.4,0.4,10.72,5,9.1,41100,57,9.4,2.52,23,1.75
France,66553766.00,41.1,0.43,12.38,8,11.7,41200,51.7,9.9,3.28,18.2,2.08
Gabon,1705336.00,18.6,1.93,34.49,230,3.5,18600,25.8,21,46.07,13.9,4.46
Georgia,4931226.00,37.9,-0.08,12.74,67,9.2,9600,28.2,16.7,16.15,22.1,1.76
Germany,80854408.00,46.5,-0.17,8.47,7,11.3,46900,45,4.8,3.43,25.1,1.44
Ghana,26327649.00,20.9,2.18,31.09,350,5.2,4300,21.6,5.2,37.37,7.5,4.06
Greece,10775643.00,43.8,-0.01,8.66,3,9.3,26400,27.7,25,4.7,20.1,1.42
Grenada,110694.00,30.4,0.48,16.03,24,6.4,13100,20.1,33.5,10.21,22.5,2.06
Guatemala,14918999.00,21.4,1.81,24.89,120,6.7,7700,11.5,2.9,22.73,19.2,2.9
Guyana,735222.00,25.4,0.02,15.59,280,6.6,7500,25.2,11.1,32.56,17.2,2.08
Haiti,10110019.00,22.5,1.17,22.31,350,6.4,1800,20.6,40.6,47.98,7.9,2.69
Honduras,8746673.00,22.3,1.68,23.14,100,8.6,4900,17.2,4.1,18.18,18.4,2.78
Hungary,9897541.00,41.4,-0.22,9.16,21,7.8,26200,47.9,6.8,5.02,27.6,1.43
Iceland,331918.00,36,1.21,13.91,5,9.1,46100,41.3,3.8,2.06,23.2,2.02
India,1251695584.00,27.3,1.22,19.55,200,4,6200,10.8,7.1,41.81,1.9,2.48
Indonesia,255993674.00,29.6,0.92,16.72,220,3,11100,14.1,5.5,24.29,4.8,2.15
Iran,81824270.00,28.8,1.2,17.99,21,6.7,17300,14.1,10.5,38.04,19.4,1.83
Iraq,37056169.00,19.7,2.93,31.45,63,3.6,15500,37,16,37.49,27,4.12
Ireland,4892305.00,36.1,1.25,14.84,6,8.1,55500,34.5,9.4,3.7,25.2,1.99
Israel,8049314.00,29.6,1.56,18.48,7,7.5,33700,25.5,5.6,3.55,26.2,2.68
Italy,61855120.00,44.8,0.27,8.74,4,9.2,35700,48.2,12.2,3.29,19.8,1.43
Jamaica,2950210.00,25.3,0.68,18.16,110,5.9,8800,26.8,14,13.37,24.1,2.01
Japan,126919659.00,46.5,-0.16,7.93,5,10.1,38100,35,3.3,2.08,5,1.4
Jordan,8117564.00,22,0.83,25.37,63,9.8,12100,22.8,13,15.18,30,3.17
Kazakhstan,18157122.00,30,1.14,19.15,51,4.2,24300,17.5,5,20.92,23.7,2.31
Kenya,45925301.00,19.3,1.93,26.4,360,4.7,3200,16.8,40,39.38,4.2,3.31
"Korea, South",49115196.00,40.8,0.14,8.19,16,7.5,36500,20.9,3.5,3.86,7.7,1.25
Kuwait,2788534.00,29,1.62,19.91,14,2.5,70200,49.6,3,7.31,42,2.48
Kyrgyzstan,5664939.00,26,1.11,22.98,71,7.1,3400,29.5,8,27.73,15.5,2.66
Laos,6911544.00,22.3,1.55,24.25,470,2.9,5300,24.7,1.3,52.97,2.6,2.82
Latvia,1986705.00,42.9,-1.06,10,34,6,24700,33.8,8.7,5.36,24.9,1.5
Lesotho,1947701.00,23.8,0.32,25.47,620,11.6,3000,57,28.1,49.03,14.6,2.72
Liberia,4195666.00,18.1,2.47,34.41,770,15.5,900,33.8,85,67.5,4.8,4.7
Libya,6411776.00,28,2.23,18.03,58,3.9,14600,34.3,30,11.48,27.8,2.05
Lithuania,2884433.00,43.1,-1.04,10.1,8,6.7,28400,31.9,8.2,3.84,27.6,1.59
Luxembourg,570252.00,39.2,2.13,11.37,20,6.9,99000,40.8,6.9,3.46,26,1.61
Macedonia,2096015.00,37.2,0.2,11.55,10,7.1,14000,26.8,26.9,7.7,21.1,1.6
Malaysia,30513848.00,27.9,1.44,19.71,29,4,26300,16.9,2.7,13.27,14,2.55
Maldives,393253.00,27.4,-0.08,15.75,60,8.5,14900,31.7,11.6,23.7,12.9,1.74
Mali,16955536.00,16.1,2.98,44.99,540,5.8,2200,22,30,102.23,4.3,6.06
Malta,413965.00,41.2,0.31,10.18,8,9.1,35900,41.3,5.2,3.56,28.8,1.54
Mauritania,3596702.00,20.1,2.23,31.34,510,6.4,4400,44.4,31,54.68,12.7,4
Mauritius,1339827.00,34.4,0.64,13.29,60,4.8,19500,19.1,7.7,10.3,18.5,1.76
Mexico,121736809.00,27.6,1.18,18.78,50,6.1,17500,22.3,4.5,12.23,32.1,2.27
"Micronesia, Federated States of",105216.00,24.2,-0.46,20.54,100,12.8,3000,69.6,16.2,21.18,40.6,2.49
Moldova,3546847.00,36,-1.02,12,41,11.7,5000,36.8,6,12.59,21.2,1.56
Mongolia,2992908.00,27.5,1.31,20.25,63,6.3,12100,32.4,8.3,22.44,14.4,2.17
Morocco,33322699.00,28.5,1,18.2,100,6.4,8200,23.8,9.7,23.6,16.4,2.13
Mozambique,25303113.00,17,2.45,38.58,490,6.4,1200,27,17,70.21,4.9,5.21
Namibia,2212307.00,23.1,0.59,19.8,200,8.3,11400,35.9,28.1,45.62,9.5,2.17
Nepal,31551305.00,23.4,1.79,20.64,170,5.5,2500,19.9,46,39.14,1.4,2.24
Netherlands,16947904.00,42.3,0.41,10.83,6,12.4,49200,44.8,6.9,3.62,18.8,1.78
New Zealand,4438393.00,37.7,0.82,13.33,15,10.3,36200,43.1,5.8,4.52,28.3,2.04
Nicaragua,5907881.00,24.7,1,18.03,95,8.2,5000,16,6.1,19.65,22.2,1.94
Niger,18045729.00,15.2,3.25,45.45,590,7.2,1100,27.7,5.1,84.59,2.4,6.76
Nigeria,181562056.00,18.2,2.45,37.64,630,6.1,6100,2.9,23.9,72.7,6.5,5.19
Norway,5207689.00,39.1,1.13,12.14,7,9,68400,55.4,4.4,2.48,21.5,1.86
Oman,3286936.00,25.1,2.06,24.44,32,2.6,44600,50.1,15,13.55,20.9,2.86
Pakistan,199085847.00,23,1.46,22.58,260,2.7,5000,15.6,6.5,55.67,5.5,2.75
Panama,3657024.00,28.6,1.32,18.32,92,7.6,21800,21.4,4.5,10.41,25.4,2.35
Papua New Guinea,6672429.00,22.6,1.78,24.38,230,5.2,2700,23,1.9,38.55,16.2,3.16
Paraguay,6783272.00,27.3,1.16,16.37,99,10.3,8700,18.2,5.5,20.05,17.9,1.91
Peru,30444999.00,27.3,0.97,18.28,67,5.1,12200,34.6,6.1,19.59,15.7,2.18
Philippines,100998376.00,23.2,1.61,24.27,99,4.6,7300,16,6.3,22.34,6.3,3.09
Poland,38562189.00,39.9,-0.09,9.74,5,6.7,26500,17,10.6,4.5,25.3,1.33
Portugal,10825309.00,41.5,0.09,9.27,8,9.4,27800,45.5,12.6,4.43,24,1.52
Qatar,2194817.00,32.8,3.07,9.84,7,2.2,132100,40.2,0.4,6.32,33.2,1.91
Romania,21666350.00,40.2,-0.3,9.14,27,5.1,20800,32.9,6.7,9.89,19.1,1.33
Russia,142423773.00,39.1,-0.04,11.6,34,6.3,25400,17.5,5.4,6.97,26.5,1.61
Saint Lucia,163922.00,33.5,0.34,13.7,35,8.5,11700,12.9,20,11.45,21.4,1.76
Saint Vincent and the Grenadines,102627.00,32.5,-0.28,13.57,48,5.2,11000,24.2,18.8,12.69,23.4,1.82
Sao Tome and Principe,194006.00,17.9,1.84,34.23,70,7.9,3200,25.9,13.5,47.88,9.5,4.54
Saudi Arabia,27752316.00,26.8,1.46,18.51,24,3.2,53600,28.3,11.4,14.09,33,2.12
Senegal,13975834.00,18.5,2.45,34.52,370,5,2500,24.3,48,51.54,6.8,4.44
Serbia,7176794.00,42.1,-0.46,9.08,12,10.5,13700,40.8,19.3,6.05,24.8,1.43
Sierra Leone,5879098.00,19,2.35,37.03,890,15.1,1600,12.8,9.1,71.68,6.8,4.8
Singapore,5674472.00,34,1.89,8.27,3,4.7,85300,15,2,2.48,7.1,0.81
Slovakia,5445027.00,39.6,0.02,9.91,6,7.8,29700,40.2,10.6,5.27,25.4,1.39
Slovenia,1983412.00,43.8,-0.26,8.42,12,8.8,31000,40.7,12,4,28.6,1.34
South Africa,53675563.00,26.5,1.33,20.75,300,8.8,13200,26.5,25.9,32.99,31.3,2.33
Spain,48146134.00,42,0.89,9.64,6,9.6,34800,38.8,22.5,3.3,26.6,1.49
Sri Lanka,22053488.00,32.1,0.84,15.85,35,3.3,10600,12.3,4.2,8.8,5.1,2.1
Sudan,36108853.00,19.3,1.72,29.19,730,7.2,4300,7.7,13.6,51.52,6,3.79
Suriname,579633.00,29.1,1.08,16.34,130,5.9,16300,21,8.9,26.17,25.1,1.97
Swaziland,1435613.00,21.2,1.11,24.67,320,8.5,8500,26.8,40,52.57,19.7,2.8
Sweden,9801616.00,41.2,0.8,11.99,4,9.6,47900,51.8,7.4,2.6,18.6,1.88
Switzerland,8121830.00,42.1,0.71,10.5,8,11.3,58600,32.8,3.3,3.67,17.5,1.55
Syria,17064854.00,23.8,-0.16,22.17,70,3.4,5100,15.9,57.7,15.61,27.1,2.6
Tajikistan,8191958.00,23.9,1.71,24.38,65,7,2700,30.2,2.5,33.93,8.6,2.71
Thailand,67976405.00,36.7,0.34,11.19,48,4.3,16100,19.1,1,9.63,8.8,1.51
Timor-Leste,1231116.00,18.6,2.42,34.16,300,8.6,5600,7.1,11,37.54,2.7,5.01
Trinidad and Tobago,1222363.00,35,-0.13,13.46,46,5.4,32600,31.8,3.5,23.9,29.3,1.71
Tunisia,11037225.00,31.9,0.89,16.64,56,7,11400,24.6,15.4,22.35,22.3,1.99
Turkey,79414269.00,30.1,1.26,16.33,20,6.3,20400,24.3,10.4,18.87,27.8,2.05
Turkmenistan,5231422.00,27.1,1.14,19.4,67,2,16400,14,11,36.82,13.2,2.09
Ukraine,44429471.00,40.1,-0.6,10.72,32,7.6,7500,28.2,9.5,8.12,21.3,1.53
United Arab Emirates,5779760.00,30.3,2.58,15.43,12,2.8,67600,32.5,2.4,10.59,32.7,2.35
United Kingdom,64088222.00,40.4,0.54,12.17,12,9.4,41200,38.4,5.4,4.38,26.9,1.89
United States,321368864.00,37.8,0.78,12.49,21,17.9,55800,18.1,5.2,5.87,33,1.87
Uruguay,3341893.00,34.5,0.27,13.07,29,8.9,21500,29,7.1,8.74,24.8,1.82
Uzbekistan,29199942.00,27.6,0.93,17,28,5.9,6100,28.4,4.8,19.2,15.1,1.79
Vanuatu,272264.00,21.4,1.95,25.04,110,3.6,2500,18.3,1.7,15.7,27.5,3.25
Vietnam,94348835.00,29.6,0.97,15.96,59,6.6,6000,19.9,3,18.39,1.7,1.83
Yemen,26737317.00,18.9,2.47,29.98,200,5.5,2700,8.4,27,48.93,14.5,3.91
Zambia,15066266.00,16.7,2.88,42.13,440,6.5,3900,14.9,15,64.72,3.6,5.72
